EntrezGene ID,HGNC symbol
100846998,MIR5689
100313770,MIR548K
102465878,MIR8082
440563,HNRNPCL2
100616219,MIR4765
6082,SNORD20
677801,SNORA14A
100616147,MIR4769
102464836,MIR6088
100616488,MIR548AK
949,SCARB1
100873749,RNU6-34P
693152,MIR567
406935,MIR143
23024,PDZRN3
102464835,MIR6087
102465865,MIR8062
100616188,MIR3972
246,ALOX15
100422844,MIR3118-3
100422935,MIR3118-3
100422949,MIR3118-3
100422844,MIR3118-4
100422935,MIR3118-4
100422949,MIR3118-4
100422844,MIR3118-2
100422935,MIR3118-2
100422949,MIR3118-2
100033822,SNORD115-48
442038,SULT1C3
7701,ZNF142
100847021,MIR5002
100616207,MIR4439
100126319,MIR216B
26817,SNORD34
100313835,MIR1255B2
114823,LENG8
26851,SNORD3B-1
780852,SNORD3B-1
26851,SNORD3B-2
780852,SNORD3B-2
5565,PRKAB2
102465519,MIR6861
100616231,MIR4519
3021,H3F3B
100616347,MIR548AI
26801,SNORD48
100616154,MIR4466
100500896,MIR3666
100616229,MIR4473
619562,SNORA45A
102465906,MIR7112
102464827,MIR6074
100616467,MIR4767
693223,MIR638
677773,SCARNA23
406896,MIR103A2
100169751,RNA5S11
100169753,RNA5S11
100169754,RNA5S11
100169755,RNA5S11
100169756,RNA5S11
100169757,RNA5S11
100169758,RNA5S11
100169759,RNA5S11
100169761,RNA5S11
100169762,RNA5S11
100169763,RNA5S11
100169764,RNA5S11
100169765,RNA5S11
100169766,RNA5S11
100169767,RNA5S11
100169768,RNA5S11
100423020,MIR4258
101101773,LINC00609
196385,DNAH10
407000,MIR218-1
692158,SNORA57
5454,POU3F2
100423023,MIR3197
26796,SNORD53
100500824,MIR3650
406991,MIR21
767569,SNORD113-9
100033455,SNORD115-18
100033456,SNORD115-18
100033458,SNORD115-18
100126297,MIR300
100302122,MIR1183
10595,ERN2
100616322,MIR4682
26781,SNORA67
693171,MIR586
100616284,MIR4489
693147,MIR562
619568,SNORA4
6066,RNU2-1
100847071,MIR5684
10985,GCN1L1
768220,MIR765
100302115,MIR1468
692208,SNORD91B
26828,RNU5F-1
100126332,MIR943
692207,SNORD91A
100616272,MIR4422
100500885,MIR3925
100616267,MIR4776-2
100616472,MIR4776-2
100616267,MIR4776-1
100616472,MIR4776-1
100616196,MIR4525
100134229,JHDM1D-AS1
100505501,
100033427,SNORD116-15
100616416,MIR4727
102465484,MIR6806
100500910,MIR3670-2
100846994,MIR3670-2
103504726,MIR3670-2
103504740,MIR3670-2
102465875,MIR8077
100616223,MIR4509-2
100616228,MIR4509-2
100616382,MIR4509-2
100616223,MIR4509-3
100616228,MIR4509-3
100616382,MIR4509-3
100616223,MIR4509-1
100616228,MIR4509-1
100616382,MIR4509-1
692213,SNORD110
100423043,MIR4269
100169751,RNA5S14
100169753,RNA5S14
100169754,RNA5S14
100169755,RNA5S14
100169756,RNA5S14
100169757,RNA5S14
100169758,RNA5S14
100169759,RNA5S14
100169761,RNA5S14
100169762,RNA5S14
100169763,RNA5S14
100169764,RNA5S14
100169765,RNA5S14
100169766,RNA5S14
100169767,RNA5S14
100169768,RNA5S14
8388,OR1E2
574410,MIR323B
441873,PRAMEF26
645359,PRAMEF26
100422989,MIR3155A
100847092,MIR548AS
693187,MIR602
693202,MIR617
100616358,MIR4800
100616301,MIR4674
26801,SNORD48
100126309,MIR875
26824,RNU11
100423037,MIR3176
100302257,MIR1539
677840,SNORA71D
102466195,MIR6780A
100847089,MIR5584
100422920,MIR548X
102465136,MIR378J
100302185,MIR1204
442892,MIR148B
693196,MIR611
102465536,MIR6890
102465503,MIR6836
100500862,MIR3648-1
103504731,MIR3648-1
100500862,MIR3648-2
103504731,MIR3648-2
125111,GJD3
407027,MIR301A
253128,LINC00612
100126325,MIR935
100422993,MIR3130-1
100423002,MIR3130-1
100422993,MIR3130-2
100423002,MIR3130-2
100422984,MIR4308
692092,SNORD32B
767591,SNORD114-13
677844,SNORA78
100500910,MIR3670-1
100846994,MIR3670-1
103504726,MIR3670-1
103504740,MIR3670-1
100500910,MIR3670-2
100846994,MIR3670-2
103504726,MIR3670-2
103504740,MIR3670-2
100500910,MIR3670-4
100846994,MIR3670-4
103504726,MIR3670-4
103504740,MIR3670-4
100500910,MIR3670-3
100846994,MIR3670-3
103504726,MIR3670-3
103504740,MIR3670-3
677842,SNORA76C
407002,MIR219A1
574459,MIR512-2
100422894,MIR4260
192666,KRT24
144455,E2F7
100873760,RNU6-46P
406909,MIR124-3
100422997,MIR4257
100422863,MIR4265
768222,MIR770
693173,MIR588
100847031,MIR5700
100885776,UGDH-AS1
102465442,MIR6738
284207,METRNL
284415,VSTM1
100124535,SNORA36C
100847074,MIR5088
728081,LINC00290
100847054,MIR5588
100423040,MIR3166
100422852,MIR4259
259289,
100033416,SNORD116-4
100422969,MIR2909
100302140,MIR1302-6
574516,MIR514A1
100847078,MIR548AQ
102465834,MIR7844
100616179,MIR4498
100616458,MIR5095
100507334,
103504737,MIR8485
6992,PPP1R11
100302275,MIR548L
100151683,RNU4ATAC
100500871,MIR3622A
100500871,MIR3622B
